Gender Details,Product Info,Option ID,Product Option Info,Full URL
"['Kadın', 'Plaj Kıyafeti']",Optik Beyaz,3111827,"['Ürün Özellikleri:', 'Marka: LCW DREAM', 'Uzunluk: Mini', 'Cinsiyet: Kadın', 'Desen: Nakışlı', 'Yaka: V Yaka', 'Kalıp: Standart', 'Kol Boyu: Kısa Kol', 'Siluet: Önden Bağlama', 'Kumaş: Şifon', 'Ürün Tip: Plaj Elbisesi']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Plaj-Elbisesi/6386943/3111827
"['Kadın', 'Hamile Giyim']",Açık Mavi,3144546,"['Ürün Özellikleri:', 'Kol Boyu: Uzun Kol', 'Desen: Kendinden Desenli', 'Kalınlık: Kalın', 'Yaka: Balıkçı / Yarım Balıkçı Yaka', 'Ürün Tip: Kazak', 'Cinsiyet: Kadın', 'Stil: Hamilelik Dönemi ve Sonrası', 'Kumaş: Triko', 'Kalıp: Rahat Kalıp', 'Marka: LCWAIKIKI Maternity']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Kazak/6596759/3144546
"['Kadın', 'Bluz']",Bej Melanj,3222505,"['Ürün Özellikleri:', 'Cinsiyet: Kadın', 'Kumaş: Penye', 'Desen: Nakışlı', 'Marka: LCW Grace', 'Malzeme: Yüksek Pamuk İçerir', 'Kalınlık: İnce', 'Yaka: Bisiklet Yaka', 'Ürün Tip: Bluz', 'Kol Boyu: Uzun Kol', 'Kalıp: Standart']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Bluz/6806624/3222505
"['Kadın', 'Tişört']",Ekru,3014831,"['Ürün Özellikleri:', 'Kalıp: Dar', 'Ürün Tip: Tişört', 'Malzeme: Yüksek Pamuk İçerir', 'Kalınlık: İnce', 'Cinsiyet: Kadın', 'Yaka: Bisiklet Yaka', 'Kol Boyu: Kısa Kol', 'Marka: LCWAIKIKI Basic', 'Desen: Düz', 'Kumaş: Penye']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Tisort/6516056/3014831
"['Kadın', 'Plaj Kıyafeti']",Taş,3275565,"['Ürün Özellikleri:', 'Marka: For You Moda', 'Cinsiyet: Kadın', 'Ürün Tip: Pareo']",/tr-TR/TR/urun/Markalar/kadin/Pareo/500036670/3275565
[],Product code information not found.,No optionid found.,['Option information not found.'],/tr-TR/TR/urun/LC-WAIKIKI/kadin/Kazak/6571001/3076477
"['Kadın', 'Gömlek']",Mat Mavi,3188588,"['Ürün Özellikleri:', 'Malzeme: %100 Pamuk', 'Marka: LCW Grace', 'Yaka: Kaçık Yaka', 'Ürün Tip: Gömlek', 'Kalınlık: İnce', 'Cinsiyet: Kadın', 'Kalıp: Standart', 'Desen: Düz', 'Kumaş: Poplin', 'Kol Boyu: 3/4 Boy']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Gomlek/6591022/3188588
"['Kadın', 'Etek']",Siyah Baskılı,3237817,"['Ürün Özellikleri:', 'Kalıp: Standart', 'Cinsiyet: Kadın', 'Uzunluk: Uzun', 'Desen: Çiçekli', 'Ürün Tip: Etek', 'Marka: LCW Grace', 'Kumaş: Viskon', 'Astar Detay: Astarsız']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Etek/6587388/3237817
"['Kadın', 'Gömlek']",Yeşil,3188666,"['Ürün Özellikleri:', 'Ürün Tip: Gömlek', 'Malzeme: %100 Pamuk', 'Marka: LCW Grace', 'Yaka: Kaçık Yaka', 'Cinsiyet: Kadın', 'Kalınlık: İnce', 'Kol Boyu: 3/4 Boy', 'Kalıp: Standart', 'Desen: Düz', 'Kumaş: Poplin']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Gomlek/6592142/3188666
"['Kadın', 'Gömlek']",Yeni Siyah,3188663,"['Ürün Özellikleri:', 'Ürün Tip: Gömlek', 'Malzeme: %100 Pamuk', 'Marka: LCW Grace', 'Yaka: Kaçık Yaka', 'Cinsiyet: Kadın', 'Kalınlık: İnce', 'Kol Boyu: 3/4 Boy', 'Kalıp: Standart', 'Desen: Düz', 'Kumaş: Poplin']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Gomlek/6592142/3188663
"['Kadın', 'Pantolon']",Yeni Siyah,3147308,"['Ürün Özellikleri:', 'Kalıp: Dar', 'Cinsiyet: Kadın', 'Ürün Tip: Pantolon', 'Marka: LCWAIKIKI Basic', 'Kalınlık: Orta Kalınlık', 'Desen: Düz']",/tr-TR/TR/urun/LC-WAIKIKI/kadin/Pantolon/6507189/3147308
